PassName,Partnered,SkiResortName,SkiRegion,Address,Latitude,Longitude,WebsiteUrl,TrailMapUrl
Epic,FALSE,Park City,Rockies,,40.65897761,-111.5468906,https://www.parkcitymountain.com/,
Epic,FALSE,Beaver Creek,Rockies,,39.60177444,-106.5316756,https://www.beavercreek.com/,
Epic,FALSE,Vail,Rockies,,39.60623527,-106.3549395,https://www.vail.com/,
Epic,FALSE,Keystone,Rockies,,39.58178153,-105.9436903,https://www.keystoneresort.com/,
Epic,FALSE,BreckenRidge,Rockies,,39.47938163,-106.0727269,https://www.breckenridge.com/,
Epic,FALSE,Crested Butte,Rockies,"12 Snowmass Rd, Crested Butte, CO 81225",38.89936498,-106.9656952,https://www.skicb.com/,
Epic,TRUE,Telluride (partnered),Rockies,,37.91922587,-107.8379297,https://tellurideskiresort.com/,
Epic,FALSE,Stevens Pass,West,,47.74511932,-121.0902108,http://www.stevenspass.com/,
Epic,FALSE,Northstar,West,"5001 Northstar Dr, Truckee, CA 96161",39.26497946,-120.1331426,https://www.northstarcalifornia.com/,
Epic,FALSE,Heavenly,West,,38.92951276,-119.9054455,https://www.skiheavenly.com/,
Epic,FALSE,Kirkwood,West,"1501 Kirkwood Meadows Dr, Kirkwood, CA 95646",38.68482672,-120.0651558,https://www.kirkwood.com/,
Epic,FALSE,Stowe,Northeast,"5781 Mountain Rd, Stowe, VT 05672",44.52755863,-72.78395418,https://www.stowe.com/,
Epic,FALSE,Okemo,Northeast,,43.41169226,-72.72788013,https://www.okemo.com/,
Epic,FALSE,Mount Snow,Northeast,"39 Mount Snow Road, West Dover, VT 05356",42.96878449,-72.89451462,https://www.mountsnow.com/,
Epic,FALSE,Mount Sunapee,Northeast,"1398 New Hampshire Rte 103, Newbury, NH 03255",43.33154832,-72.08037241,http://www.mountsunapee.com/,
Epic,FALSE,Wildcat,Northeast,,44.26422601,-71.23936797,https://www.skiwildcat.com/,
Epic,FALSE,Attitash,Northeast,"775 US-302, Bartlett, NH 03812",44.08287884,-71.22942154,http://www.attitash.com/,
Epic,FALSE,Crotched,Northeast,"615 Francestown Rd, Bennington, NH 03442",43.01215525,-71.87890861,http://www.crotchedmtn.com/,
Epic,FALSE,Hunter,Northeast,"64 Klein Ave, Hunter, NY 12442",42.20298252,-74.224712,https://www.huntermtn.com/,
Epic,FALSE,Afton Alps,Midwest,"6600 Peller Ave S, Hastings, MN 55033",44.85775201,-92.7878813,http://www.aftonalps.com/,
Epic,FALSE,Wilmot,Midwest,"11931 Fox River Rd, Wilmot, WI 53192",42.49902593,-88.18767093,http://www.wilmotmountain.com/,
Epic,FALSE,Mt Brighton,Midwest,"4141 Bauer Rd, Brighton, MI 48116",42.54098804,-83.81161825,http://mtbrighton.com/,
Epic,FALSE,Snow Creek,Midwest,"1 Snow Creek Dr, Weston, MO 64098",39.467371,-94.97075233,http://www.skisnowcreek.com/,
Epic,FALSE,Hidden Valley,Midwest,"17409 Hidden Valley Dr, Eureka, MO 63025",38.53540067,-90.65073271,http://www.hiddenvalleyski.com/,
Epic,FALSE,Paoli Peaks,Midwest,"2798 W County Rd 25 S, Paoli, IN 47454",38.55563708,-86.51228414,http://www.paolipeaks.com/,
Epic,FALSE,Mad River,Midwest,"1000 Snow Valley Rd, Zanesfield, OH 43360",40.31817825,-83.67778852,http://www.skimadriver.com/,
Epic,FALSE,Boston Mills,Midwest,"7100 Riverview Rd, Peninsula, OH 44264",41.26497251,-81.56442311,http://www.bmbw.com/,
Epic,FALSE,Brandywine,Midwest,"1146 W Highland Rd, Northfield, OH 44067",41.28523927,-81.55167901,http://www.bmbw.com/,
Epic,FALSE,Alpine Valley,Midwest,"10620 Mayfield Rd, Chesterland, OH 44026",41.55046524,-81.27243798,http://www.alpinevalleyohio.com/,
Epic,FALSE,Jack Frost,Mid Atlantic,"434 Jack Frost Mountain Rd, White Haven, PA 18661",41.10812624,-75.65304541,http://www.jfbb.com/,
Epic,FALSE,Big Boulder,Mid Atlantic,"357 Big Boulder Dr, Lake Harmony, PA 18624",41.05041144,-75.60128199,https://www.jfbb.com/,
Epic,FALSE,Roundtop,Mid Atlantic,"925 Roundtop Rd, Lewisberry, PA 17339",40.10963106,-76.9274419,http://www.skiroundtop.com/,
Epic,FALSE,Liberty,Mid Atlantic,"78 Country Club Trail, Fairfield, PA 17320",39.76380839,-77.37542681,https://www.libertymountainresort.com/,
Epic,FALSE,Whitetail,Mid Atlantic,"13805 Blairs Valley Rd, Mercersburg, PA 17236",39.74200052,-77.93330864,http://www.skiwhitetail.com/,
Epic,FALSE,Laurel,Mid Atlantic,"374 Summit Ski Rd, Boswell, PA 15531",40.16396003,-79.16534038,http://www.laurelmountainski.com/,
Epic,FALSE,Hidden Valley,Mid Atlantic,,41.18754549,-74.48244661,https://www.hiddenvalleyresort.com/,
Epic,FALSE,Seven Springs,Mid Atlantic,"777 Water Wheel Dr, Champion, PA 15622",40.02312448,-79.29771392,https://www.7springs.com/,
Epic,FALSE,Whistler Blackcomb,Canada,"4545 Blackcomb Way, Whistler, BC V0N 1B4, Canada",50.11505328,-122.9486259,https://www.whistlerblackcomb.com/,
Epic,TRUE,Kicking Horse,Canada,"1500 Kicking Horse Trail, Golden, BC V0A 1H0, Canada",51.29762241,-117.0482623,http://kickinghorseresort.com/,
Epic,TRUE,Nakiska,Canada,"2 Mt Allan Dr, Kananaskis, AB T0L 2H0, Canada",50.94277135,-115.1510985,http://www.skinakiska.com/,
Epic,TRUE,Kimberley,Canada,"301 N Star Blvd, Kimberley, BC V1A 2Y5, Canada",49.68798282,-116.0048894,http://www.skikimberley.com/,
Epic,TRUE,Fernie,Canada,"5339 Fernie Ski Hill Rd, Fernie, BC V0B 1M6, Canada",49.46290535,-115.0873709,http://www.skifernie.com/,
Epic,TRUE,Mont-Sainte-Anne,Canada,"2000 Bd du Beau Pré, Beaupré, QC G0A 1E0, Canada",47.07717255,-70.9071038,https://mont-sainte-anne.com/,
Epic,TRUE,Stoneham,Canada,"600 Chem. du Hibou, Stoneham-et-Tewkesbury, QC G3C 1T3, Canada",47.02720188,-71.3828492,https://ski-stoneham.com/,
Epic,FALSE,Crans-Montana,Switzerland,"3963 Crans-Montana, Switzerland",46.31268024,7.480590305,https://www.crans-sur-sierre.ch/,
Epic,FALSE,Andermatt-Sedrun-Disentis,Switzerland,"Bahnhofpl. 3, 6490 Andermatt, Switzerland",46.63776255,8.592938097,https://andermatt-sedrun-disentis.ch/,
Epic,TRUE,Skirama Dolomiti,Italy,,,,,
Epic,TRUE,Ski Arlberg,Austria,,,,,
Epic,TRUE,Verbier 4 vallees,Switzerland,,,,,
Epic,TRUE,Les 3 Vallees,France,,,,,
Epic,FALSE,Perisher,Australia,,,,,
Epic,FALSE,Falls Creek,Australia,,,,,
Epic,FALSE,Mount Hotham,Australia,,,,,
Epic,TRUE,Hakuba Valley,Japan,,,,,
Epic,TRUE,Rusutsu,Japan,,,,,
Ikon,FALSE,Palisades Tahoe,USA West,"1960 Olympic Vly Rd, Olympic Valley, CA 96146",39.19771819,-120.2348807,https://www.palisadestahoe.com/,
Ikon,TRUE,Sierra-at-Tahoe,USA West,"1111 Sierra-At-Tahoe Rd, Twin Bridges, CA 95735",38.80125902,-120.0825048,https://www.sierraattahoe.com/,
Ikon,FALSE,Mammoth Mountain,USA West,"10001 Minaret Rd, Mammoth Lakes, CA 93546",37.6508769,-119.0372756,https://www.mammothmountain.com/,
Ikon,FALSE,June Mountain,USA West,"3819 CA-158, June Lake, CA 93529",37.76806256,-119.0909476,http://www.junemountain.com/,
Ikon,FALSE,Big Bear Mountain Resort,USA West,"880 Summit Blvd, Big Bear Lake, CA 92315",34.23684026,-116.8893756,https://www.bigbearmountainresort.com/,
Ikon,FALSE,Snow Valley,USA West,"35100 CA-18, Running Springs, CA 92382",34.22530686,-117.0353148,https://www.bigbearmountainresort.com/,
Ikon,TRUE,Sun Valley,USA Pacific NW,"1 Sun Valley Rd, Sun Valley, ID 83353",43.69573032,-114.3537057,https://www.sunvalley.com/,
Ikon,TRUE,Alyeska Resort,USA Pacific NW,"1000 Arlberg Ave, Girdwood, AK 99587",60.97052234,-149.0982548,https://www.alyeskaresort.com/,
Ikon,FALSE,Crystal Mountain Resort,USA Pacific NW,"33914 Crystal Mountain Blvd. Enumclaw, WA 98022",46.93535123,-121.4747318,https://www.crystalmountainresort.com/,
Ikon,TRUE,The Summit at Snoqualmie,USA Pacific NW,"1001 WA-906, Snoqualmie Pass, WA 98068",47.40528218,-121.4128043,https://www.summitatsnoqualmie.com/,
Ikon,TRUE,Mt. Bachelor,USA Pacific NW,"13000 SW Century Dr Bend, OR 97702",43.98989108,-121.6847003,https://www.mtbachelor.com,
Ikon,FALSE,Schweitzer,USA Pacific NW,"10000 Schweitzer Mountain Rd, Sandpoint, ID 83864",48.36749186,-116.6234021,https://www.schweitzer.com/,
Ikon,TRUE,Aspen Snowmass,USA Rockies,,39.20916591,-106.9494791,https://www.aspensnowmass.com/,
Ikon,FALSE,Steamboat,USA Rockies,,40.45808015,-106.8036781,https://www.steamboat.com/,
Ikon,FALSE,Winter Park Resort,USA Rockies,"85 Parsenn Rd, Winter Park, CO 80482",39.88690899,-105.7633153,https://www.winterparkresort.com/,
Ikon,TRUE,Copper Mountain,USA Rockies,"509 Copper Rd, Frisco, CO 80443",39.50045733,-106.1557864,http://www.coppercolorado.com/,
